,age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,y,id,outliers
27445,30,0,1,0,0,0,0,0,1,1,2,999,0,0,-1.8,93.075,-47.1,1.415,0,28604,1
17409,34,0,1,0,0,1,1,0,2,0,7,999,0,0,1.4,93.918,-42.7,4.962,1,17633,1
2547,25,1,0,0,0,0,0,1,3,2,3,999,0,0,1.1,93.994,-36.4,4.856,1,2601,1
18632,49,2,1,1,0,1,1,0,4,0,1,999,0,0,1.4,93.444,-36.1,4.97,1,18867,1
11068,38,3,1,2,0,0,0,1,5,3,2,999,0,0,1.4,94.465,-41.8,4.961,0,11233,1
12137,50,3,1,3,0,0,1,1,2,4,1,999,0,0,1.4,93.918,-42.7,4.959,1,12317,1
19440,52,2,1,1,0,1,0,0,4,3,3,999,0,0,1.4,93.444,-36.1,4.968,1,19683,1
16136,29,3,0,4,0,0,0,0,2,2,1,999,0,0,1.4,93.918,-42.7,4.961,1,16345,1
11540,34,4,1,5,0,0,0,1,5,4,14,999,0,0,1.4,94.465,-41.8,4.959,1,11712,1
20266,35,2,1,5,0,0,1,0,4,2,1,999,0,0,1.4,93.444,-36.1,4.966,1,20512,1
12767,43,2,0,1,0,1,0,0,2,2,3,999,0,0,1.4,93.918,-42.7,4.962,1,12955,1
19939,33,2,0,5,0,1,1,0,4,0,2,999,0,0,1.4,93.444,-36.1,4.965,1,20184,1
31729,42,3,1,3,0,0,0,0,3,3,2,999,0,0,-1.8,92.893,-46.2,1.266,1,34674,1
956,34,3,1,2,0,1,0,1,3,1,1,999,0,0,1.1,93.994,-36.4,4.856,1,984,1
35747,39,2,1,0,0,1,0,0,5,0,2,999,0,0,-1.7,94.055,-39.8,0.72,0,39853,1
2364,37,4,1,5,0,1,0,1,3,2,1,999,0,0,1.1,93.994,-36.4,4.856,1,2416,1
29218,26,6,0,5,0,1,0,0,3,2,1,999,0,0,-1.8,92.893,-46.2,1.344,1,30944,1
3763,36,2,1,4,0,0,0,1,3,4,3,999,0,0,1.1,93.994,-36.4,4.859,1,3837,1
35791,27,2,0,1,0,0,0,0,5,2,2,999,0,0,-1.7,94.055,-39.8,0.737,1,39902,1
7589,47,0,1,2,0,1,0,1,3,4,6,999,0,0,1.1,93.994,-36.4,4.864,1,7705,1
12994,42,2,1,5,0,1,0,0,2,1,1,999,0,0,1.4,93.918,-42.7,4.962,0,13186,1
32729,27,0,0,0,0,0,0,0,3,2,1,3,1,1,-1.8,92.893,-46.2,1.266,1,36026,1
15513,29,4,0,1,0,1,0,0,2,0,2,999,0,0,1.4,93.918,-42.7,4.96,1,15720,1
4625,42,0,1,5,0,1,0,1,3,1,1,999,0,0,1.1,93.994,-36.4,4.8580000000000005,1,4708,1
1066,42,4,1,5,0,0,0,1,3,1,2,999,0,0,1.1,93.994,-36.4,4.856,1,1098,1
13164,39,5,2,3,0,1,1,0,2,1,2,999,0,0,1.4,93.918,-42.7,4.962,1,13359,1
4341,60,4,1,3,0,0,0,1,3,2,1,999,0,0,1.1,93.994,-36.4,4.856,1,4422,1
22168,38,0,2,0,0,1,0,0,4,4,4,999,0,0,1.4,93.444,-36.1,4.964,1,22429,1
22811,50,3,1,1,0,1,1,0,4,2,8,999,0,0,1.4,93.444,-36.1,4.965,1,23076,1
28655,81,7,1,1,0,1,0,0,1,3,2,999,0,0,-1.8,93.075,-47.1,1.365,1,30225,1
3386,49,8,1,0,0,0,1,1,3,3,3,999,0,0,1.1,93.994,-36.4,4.86,1,3454,1
23343,50,0,1,0,0,1,0,0,4,3,2,999,0,0,1.4,93.444,-36.1,4.962,1,23611,1
20022,36,2,1,5,0,1,0,0,4,0,1,999,0,0,1.4,93.444,-36.1,4.965,1,20267,1
34396,53,2,1,1,0,0,0,0,7,2,1,3,1,1,-3.4,92.379,-29.8,0.77,0,38084,1
9787,45,2,1,0,0,0,0,1,5,1,2,999,0,0,1.4,94.465,-41.8,4.959,1,9933,1
3928,45,3,1,2,0,1,0,1,3,0,2,999,0,0,1.1,93.994,-36.4,4.8580000000000005,1,4004,1
10498,50,0,1,0,0,1,0,1,5,2,2,999,0,0,1.4,94.465,-41.8,4.961,1,10655,1
25561,48,0,1,0,0,0,0,0,8,3,1,999,0,0,-0.1,93.2,-42.0,4.0760000000000005,1,26287,1
31861,29,0,0,5,0,0,0,0,3,4,4,999,0,0,-1.8,92.893,-46.2,1.25,1,34854,1
9020,40,0,2,4,0,0,0,1,5,4,5,999,0,0,1.4,94.465,-41.8,4.967,1,9151,1
445,40,0,1,5,0,0,0,1,3,2,1,999,0,0,1.1,93.994,-36.4,4.857,1,455,1
28857,65,8,1,0,0,0,0,1,3,0,3,6,1,1,-1.8,92.893,-46.2,1.354,0,30467,1
28888,39,3,1,4,0,0,0,0,3,0,3,999,0,0,-1.8,92.893,-46.2,1.354,1,30503,1
36226,67,9,2,1,0,0,0,0,4,3,1,6,2,1,-1.7,94.027,-38.3,0.899,0,40478,1
23899,55,3,1,4,0,0,0,0,8,0,1,999,0,0,-0.1,93.2,-42.0,4.191,1,24193,1
25922,31,3,1,4,0,0,0,0,8,3,2,999,0,0,-0.1,93.2,-42.0,4.0760000000000005,1,26721,1
24487,49,8,1,0,0,1,0,0,8,2,1,999,0,0,-0.1,93.2,-42.0,4.1530000000000005,1,24936,1
30977,33,3,1,3,0,0,0,0,3,2,5,999,0,0,-1.8,92.893,-46.2,1.291,1,33568,1
3518,45,0,2,0,0,0,0,1,3,4,2,999,0,0,1.1,93.994,-36.4,4.859,1,3587,1
13789,32,2,1,5,0,0,0,0,2,4,2,999,0,0,1.4,93.918,-42.7,4.963,1,13987,1
26966,80,8,2,1,0,1,0,0,6,2,2,999,0,0,-1.8,92.843,-50.0,1.51,0,27963,1
5529,43,4,1,5,0,0,0,1,3,0,1,999,0,0,1.1,93.994,-36.4,4.857,1,5623,1
32785,37,2,0,1,0,0,0,0,3,2,1,999,0,0,-1.8,92.893,-46.2,1.266,1,36096,1
8593,54,2,1,1,0,1,0,1,5,1,6,999,0,0,1.4,94.465,-41.8,4.864,1,8717,1
22788,36,2,1,1,0,1,0,0,4,2,1,999,0,0,1.4,93.444,-36.1,4.965,1,23053,1
19709,41,2,2,0,0,0,0,0,4,4,1,999,0,0,1.4,93.444,-36.1,4.966,0,19954,1
5531,37,3,1,3,0,0,0,1,3,0,1,999,0,0,1.1,93.994,-36.4,4.857,1,5625,1
9289,27,1,0,0,0,0,1,1,5,4,4,999,0,0,1.4,94.465,-41.8,4.967,1,9431,1
15506,46,3,0,2,0,1,0,0,2,0,1,999,0,0,1.4,93.918,-42.7,4.96,1,15713,1
532,39,0,0,0,0,0,0,1,3,2,2,999,0,0,1.1,93.994,-36.4,4.857,1,550,1
22319,37,0,0,0,0,1,0,0,4,4,7,999,0,0,1.4,93.444,-36.1,4.964,1,22580,1
13532,32,0,1,0,0,0,0,1,2,3,1,999,0,0,1.4,93.918,-42.7,4.963,1,13728,1
552,36,2,1,1,0,1,0,1,3,2,2,999,0,0,1.1,93.994,-36.4,4.857,1,571,1
8515,39,0,0,5,0,0,0,1,5,1,2,999,0,0,1.4,94.465,-41.8,4.864,1,8638,1
10748,43,3,1,2,0,1,0,1,5,1,1,999,0,0,1.4,94.465,-41.8,4.962,0,10907,1
81,38,2,0,0,0,0,1,1,3,0,1,999,0,0,1.1,93.994,-36.4,4.857,1,84,1
9050,40,4,2,2,0,0,1,1,5,4,1,999,0,0,1.4,94.465,-41.8,4.967,1,9181,1
560,37,3,1,5,0,0,0,1,3,2,3,999,0,0,1.1,93.994,-36.4,4.857,1,579,1
31121,29,0,1,0,0,0,0,0,3,1,2,999,0,0,-1.8,92.893,-46.2,1.281,1,33791,1
